,iic,n_iic,label,prior
GO:0060400,13.822769974444292,1.0,negative regulation of growth hormone receptor signaling pathway,BIOP
GO:0021540,13.822769974444292,1.0,corpus callosum morphogenesis,BIOP
GO:0006637,11.964788979316719,0.8655854797148017,acyl-CoA metabolic process,BIOP
GO:0099608,13.822769974444292,1.0,regulation of action potential firing pattern,BIOP
GO:1903750,13.65284497300198,0.9877068777273679,regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide,BIOP
GO:0019933,13.822769974444292,1.0,cAMP-mediated signaling,BIOP
GO:1900001,13.822769974444292,1.0,negative regulation of anthocyanin catabolic process,BIOP
GO:0010353,13.630124896501895,0.9860632074252439,response to trehalose,BIOP
GO:0071784,13.822769974444292,1.0,endoplasmic reticulum cisternal network assembly,BIOP
GO:0021947,13.822769974444292,1.0,outward migration of deep nuclear neurons,BIOP
GO:0075284,13.822769974444292,1.0,asexual sporulation resulting in formation of a multicellular or syncytial spore,BIOP
GO:0051204,13.755655778585755,0.9951446637698075,protein insertion into mitochondrial membrane,BIOP
GO:0015687,13.766186446077924,0.995906498591022,ferric-hydroxamate import into cell,BIOP
GO:1904222,13.822769974444292,1.0,positive regulation of serine C-palmitoyltransferase activity,BIOP
GO:0009988,12.822769974444292,0.9276556000100694,cell-cell recognition,BIOP
GO:0048613,13.822769974444292,1.0,embryonic ectodermal digestive tract morphogenesis,BIOP
GO:0014886,13.822769974444292,1.0,transition between slow and fast fiber,BIOP
GO:0048483,13.559735568610497,0.9809709337332463,autonomic nervous system development,BIOP
GO:0021917,13.822769974444292,1.0,somatic motor neuron fate commitment,BIOP
GO:0051016,13.822769974444292,1.0,barbed-end actin filament capping,BIOP
GO:0051844,13.822769974444292,1.0,translocation of peptides or proteins into symbiont,BIOP
GO:0039505,13.822769974444292,1.0,symbiont-mediated suppression of host antigen processing and presentation of peptide antigen via MHC class II,BIOP
GO:0003042,13.822769974444292,1.0,vasoconstriction of artery involved in carotid body chemoreceptor response to lowering of systemic arterial blood pressure,BIOP
GO:0010780,13.822769974444292,1.0,meiotic DNA double-strand break formation involved in reciprocal meiotic recombination,BIOP
GO:0090382,13.600377553107844,0.9839111537161068,phagosome maturation,BIOP
GO:1905268,13.057235228081314,0.9446178481029267,negative regulation of chromatin organization,BIOP
GO:0061519,13.822769974444292,1.0,macrophage homeostasis,BIOP
GO:1901107,13.460199895059583,0.9737700851526118,granaticin metabolic process,BIOP
GO:1905769,13.822769974444292,1.0,positive regulation of double-stranded telomeric DNA binding,BIOP
GO:0045489,13.559735568610497,0.9809709337332463,pectin biosynthetic process,BIOP
GO:0032202,13.670766880999242,0.9890034274081045,telomere assembly,BIOP
GO:0048081,13.71585477052778,0.9922652837228589,positive regulation of cuticle pigmentation,BIOP
GO:0010366,13.822769974444292,1.0,negative regulation of ethylene biosynthetic process,BIOP
GO:0106021,13.822769974444292,1.0,negative regulation of vesicle docking,BIOP
GO:0051328,13.600377553107844,0.9839111537161068,meiotic interphase,BIOP
GO:0075303,13.822769974444292,1.0,positive regulation of basidiospore formation,BIOP
GO:0043508,13.822769974444292,1.0,negative regulation of JUN kinase activity,BIOP
GO:0031159,13.822769974444292,1.0,positive regulation of aggregate size involved in sorocarp development,BIOP
GO:0051316,13.460199895059583,0.9737700851526118,attachment of meiotic spindle microtubules to kinetochore,BIOP
GO:0006629,7.613316608815342,0.5507808219981188,lipid metabolic process,BIOP
GO:1904100,13.822769974444292,1.0,positive regulation of protein O-linked glycosylation,BIOP
GO:0021661,13.822769974444292,1.0,rhombomere 4 morphogenesis,BIOP
GO:0006690,12.574842461000706,0.9097194328089978,icosanoid metabolic process,BIOP
GO:2000030,12.685266450694357,0.9177079900878793,regulation of response to red or far red light,BIOP
GO:0021626,13.822769974444292,1.0,central nervous system maturation,BIOP
GO:0051473,13.822769974444292,1.0,glucosylglycerol biosynthetic process,BIOP
GO:0061606,13.822769974444292,1.0,N-terminal protein amino acid propionylation,BIOP
GO:0060078,12.822769974444292,0.9276556000100694,regulation of postsynaptic membrane potential,BIOP
GO:1900225,13.50084187955693,0.9767103051354724,regulation of NLRP3 inflammasome complex assembly,BIOP
GO:1903352,13.61126586925058,0.9846988624143538,L-ornithine transmembrane transport,BIOP
GO:1905352,13.822769974444292,1.0,ciliary necklace assembly,BIOP
GO:0150036,13.822769974444292,1.0,"regulation of trans-synaptic signaling by endocannabinoid, modulating synaptic transmission",BIOP
GO:2001108,13.822769974444292,1.0,positive regulation of Rho guanyl-nucleotide exchange factor activity,BIOP
GO:0002676,13.085804380278086,0.9466846662768232,regulation of chronic inflammatory response,BIOP
GO:0045935,10.328005282694713,0.7471733452693822,positive regulation of nucleobase-containing compound metabolic process,BIOP
GO:1900444,13.822769974444292,1.0,negative regulation of filamentous growth of a population of unicellular organisms in response to biotic stimulus,BIOP
GO:0048872,11.559735568610497,0.8362821337533851,homeostasis of number of cells,BIOP
GO:1903872,13.65284497300198,0.9877068777273679,regulation of DNA recombinase mediator complex assembly,BIOP
GO:0042755,13.33734314727405,0.9648820874493531,eating behavior,BIOP
GO:0010127,13.822769974444292,1.0,mycothiol-dependent detoxification,BIOP
GO:0120162,13.822769974444292,1.0,positive regulation of cold-induced thermogenesis,BIOP
GO:0003388,13.822769974444292,1.0,neuron development involved in amphid sensory organ development,BIOP
GO:0009643,13.822769974444292,1.0,photosynthetic acclimation,BIOP
GO:0072149,13.581761874940497,0.9825644136486845,podocyte cell fate commitment,BIOP
GO:0034372,13.822769974444292,1.0,very-low-density lipoprotein particle remodeling,BIOP
