,iic
aaa,0.93017590270299
ab,1.0
abacavir,0.8145392872458292
abasic,0.7667150451613065
abaxial,1.0
abaxonal,1.0
abc,0.5586402700768982
abdomen,1.0
abdominal,1.0
abducens,1.0
aberrant,0.8053526050042296
abhydrolase,1.0
ability,1.0
abiotic,0.5086595297478527
abl,1.0
abnormal,0.8656791714250106
abnormality,1.0
abo,1.0
abolishes,1.0
aboral,1.0
abortive,1.0
abrogate,0.7322203558173861
abscisic,0.9737714225010531
abscission,0.9027738537462977
absence,0.9677667274668209
absisic,1.0
absorption,0.839649994370334
absorptive,0.5793772789519142
aca,0.9762111743177985
acadesine,0.9791919282315019
accelerates,1.0
acceleration,1.0
acceptance,1.0
acceptor,1.0
accessibility,1.0
accessory,1.0
acclimation,0.9833146957477471
accpn,1.0
accumbens,0.9877663663977867
accumulating,0.34838009547938925
accumulation,0.9384113405135521
acerulop,1.0
aceruloplasminemia,1.0
acetaldehyde,0.9544329974592715
acetate,0.8423848762044804
acetic,1.0
acetoacetic,0.9836595439215606
acetoin,0.9722206429082803
acetone,1.0
acetylate,1.0
acetylation,0.9138726766085178
acetylcholine,0.8439841878690558
acetylene,0.983565603416541
acetylenic,0.878500915503963
acetylsalicylate,1.0
acetyltransferase,1.0
acetyltransferases,0.9189788241284541
acf,1.0
achiasmate,1.0
achromobactin,0.9799536548888202
acid,0.4873547978277288
acidemia,1.0
acidic,0.8903192687122481
acidification,0.9812642713343476
acidocalcisome,1.0
acidophil,0.9688468290734473
acidophilic,1.0
acidosis,1.0
aciduria,1.0
acinar,0.9497502479472963
acinus,0.9585805710559144
aconitate,0.8514983320111539
acoustic,1.0
acquired,0.9745390860048134
acquisition,0.9079840003957402
acrodermatitis,1.0
acropetal,1.0
acrosomal,0.9897069869091077
acrosome,0.9605282999534858
across,0.6471343985559935
acrylamide,0.9759961560615337
acrylonitrile,1.0
act,1.0
acth,1.0
actin,0.7150894800015186
acting,1.0
actinins,1.0
actinomycin,0.9791919282315019
actinorhodin,0.9722206429082803
action,0.8025363902788425
activate,0.9433813060522196
activated,0.7763917514127731
activates,0.8733282045039945
activating,0.8975061835761546
activation,0.6687755041972276
activator,0.8179546221839274
active,0.2639727512952333
activin,0.9375687059947504
activity,0.3677198217285226
actomyosin,0.9118589895522734
acute,0.8224844797081596
acyl,0.9848138839354726
acylation,0.7471746643772266
acylglycerol,0.8992747494017858
acyltransferase,1.0
acyltransferases,1.0
ada,1.0
adam,1.0
adamantanone,0.9759961560615337
adamts,1.0
adaptation,0.8664839034796833
adapter,0.6218938936690361
adaptin,1.0
adapting,1.0
adaption,1.0
adaptive,0.7226554871330868
adaptor,0.8158845028805226
adar,1.0
adaxial,1.0
addition,0.9502096994179741
additional,1.0
adducin,1.0
adenine,0.9189034177276075
adenohypophysis,0.979149057851743
adenosine,0.897855696171926
adenosyltransferase,1.0
adenylate,0.8747028309380768
adenylyl,1.0
adenylylation,0.9762333875503206
adenylyltransferase,0.8514983320111539
adepithelial,1.0
adherens,0.934711073712933
adhesion,0.6487469268588192
adhesive,1.0
adipocyte,0.838141090171906
adipocytes,1.0
adipogenesis,0.8537860835246429
adipogenic,1.0
adiponectin,0.9874868613266472
adipoq,1.0
adipose,0.957016889702535
adjustment,1.0
adme,0.6931549467159458
adp,0.9489695005313347
adrenal,0.9314204859875699
adrenaline,1.0
adrenergic,0.9528617670739697
adrenoceptors,1.0
adrenocorticotropic,0.9413970892686475
adrenomedullin,1.0
adult,0.8759917987657708
advanced,0.9052853707500602
adventitia,0.9831147062327625
adventitial,0.9373380669955054
adventitious,1.0
adventurous,1.0
aeciospore,0.978281516978709
aecium,0.9710234838910612
aerenchyma,1.0
aerial,1.0
aerobactin,0.9867695050848009
aerobic,0.6486309539139423
aerotaxis,0.9602663278514244
aexs,1.0
aez,1.0
afatinib,1.0
affect,1.0
affected,1.0
afferent,0.6910376654880145
affinity,1.0
aflatoxin,0.9719026267678643
agc,0.8207219174006911
agenesis,1.0
agent,1.0
agglutination,1.0
aggregate,0.9812728211645825
aggregation,0.6823902205125645
aggrephagy,0.974954712739334
aggresome,1.0
aggressive,0.8920104458947095
agm,1.0
agmatinase,1.0
agmatine,1.0
agonism,1.0
agonist,1.0
ah,0.6320722414143859
ahcy,1.0
ai,1.0
aicsr,1.0
airway,1.0
ajmaline,1.0
ajuba,1.0
ajugose,0.9634678992450215
akinete,1.0
akt,0.7900844307870758
ala,1.0
alanine,0.9122346531027954
alarm,1.0
albinism,1.0
albumin,0.96738460854899
albuminoid,1.0
alcohol,0.6002523341475255
ald,1.0
aldarate,0.9571266365921235
aldaric,0.9296111079387976
aldehyde,0.7238395325980902
alditol,0.8438590855575746
aldolases,1.0
aldonate,0.933224333918367
aldonic,0.9050779765893042
aldosterone,0.9825074215496908
aldoxime,0.9171533552811241
alginic,0.9710234838910612
alignment,0.9638825852350882
alimentary,0.36908365564498
alk,0.6996476957224776
alkali,1.0
alkaline,0.8720761686499368
alkaloid,0.710989696759191
alkane,0.7893229367053912
alkanesulfonate,0.914540332233324
alkene,0.8589676031131465
alkyl,0.9816954310140308
alkylating,1.0
alkylation,0.8736608895324594
alkylphenone,0.9465136085816048
alkyne,0.9570500189917045
allantoate,1.0
allantoin,0.9557328757996694
allantois,1.0
allelic,1.0
alobate,1.0
along,0.8236681188698802
alpha,0.8406329072323453
alt,1.0
alternate,0.96533666264665
alternative,0.9851518624271822
alternatively,0.9892156767158665
altruistic,0.9816358770186568
aluminum,0.9772375415524925
alveolar,0.9532916140379823
alveolus,0.960041423910963
alzheimer,1.0
amacrine,0.8193920767131411
amastigogenesis,1.0
ambiguus,1.0
ameboidal,0.9671279699684541
ameloblast,1.0
amelogenesis,1.0
amidation,1.0
amide,0.5442075277042557
amidotransferase,1.0
amine,0.6254269836194569
aminergic,1.0
amino,0.5203592701267954
aminoaciduria,1.0
aminoacyl,0.8191988450384637
aminoacylation,0.8253545786736771
aminoadipic,0.9761619919155596
aminoglycan,0.7720909246491546
aminoglycoside,0.834297608187086
aminopeptidases,1.0
aminophospholipid,0.983565603416541
aminophosphonate,1.0
aminoterminal,1.0
aminotriazole,1.0
amitosis,1.0
amitrole,0.9759961560615337
ammon,1.0
ammonia,0.9434576113302134
ammonium,0.8612144618213079
amn,1.0
amniocyte,0.9413970892686475
amnion,1.0
amnioserosa,1.0
amnioserosal,1.0
amniotic,0.9761264569526427
amoeboid,0.9729190909725316
amp,0.9801809884730693
ampa,0.8339997273381634
amphetamine,0.9759961560615337
amphibian,1.0
amphid,1.0
amphiregulin,0.9904161526325812
ampk,1.0
amplification,0.7939529034379255
amplifying,0.8623720578254636
ampulla,1.0
amrs,1.0
amygdala,1.0
amylase,0.9827456754042267
amylin,0.9626933361739061
amyloid,0.8730759818422542
amylopectin,0.9559554043848187
amyloplast,1.0
anaerobic,0.8847824085002377
anagen,0.96738460854899
anal,0.9621000624969438
analia,0.945321297271122
anaphase,0.864519892801035
anastral,0.9899187704795637
anatomical,0.3303544539888779
anchor,0.9864789532306999
anchored,1.0
anchoring,0.9559980627189432
andrastin,1.0
androecium,1.0
androgen,0.9172868868770557
androstenedione,0.9846713773730125
anemia,1.0
anergy,0.9131977151987739
anesthetic,1.0
angioblast,0.9592346466545647
angioblastic,0.9247775877974076
angioedema,1.0
angiogenesis,0.8937705301273227
angiogenic,1.0
angiopoietin,1.0
angiopoietins,1.0
angiotensin,0.9819265731525149
